id_fat_prouni;id_codigo_intituicao;id_municipio;id_tipo_bolsa;id_curso;id_turno;id_regiao;id_estado;id_etinia;modalidade_ensino_bolsa;sexo_beneficiario;data_nascimento;beneficio_deficiente_fisico;ano_concessao_bolsa
39;12;26;0;12;0.0;0;6;0;1;F;21/08/2001;N;2020
40;13;27;0;0;;2;16;0;0;M;16/10/2000;N;2020
41;13;28;0;13;;2;16;0;0;M;09/05/1974;N;2020
42;14;29;0;11;0.0;1;9;1;1;F;18/06/2002;N;2020
43;15;30;0;0;1.0;2;12;0;1;F;07/03/2002;N;2020
44;15;31;0;0;1.0;3;0;0;1;M;03/11/2000;N;2020
45;15;31;0;0;1.0;3;0;0;1;F;18/08/1999;N;2020
46;16;32;0;11;;0;6;0;0;F;22/10/1999;N;2020
47;15;33;0;0;1.0;3;18;3;1;F;30/01/1998;N;2020
48;17;34;1;12;0.0;0;7;0;1;F;15/07/1997;N;2020
49;18;35;0;14;0.0;0;7;1;1;M;23/01/2002;N;2020
50;16;36;0;11;;0;6;1;0;F;30/09/2000;N;2020
51;19;37;0;7;2.0;0;6;1;1;F;28/11/1997;N;2020
52;19;37;0;7;2.0;0;6;2;1;M;15/07/2002;N;2020
53;19;38;0;7;2.0;3;18;0;1;F;29/07/1996;N;2020
54;19;37;0;7;2.0;0;6;1;1;F;11/07/1997;N;2020
55;19;39;0;7;2.0;0;6;1;1;F;05/11/1999;N;2020
56;19;40;0;7;2.0;0;6;1;1;F;28/07/2001;N;2020
57;19;41;0;7;2.0;0;6;0;1;F;21/06/2001;N;2020
58;19;37;0;7;2.0;0;6;1;1;M;04/02/1997;N;2020
59;19;42;0;7;2.0;0;6;2;1;F;21/12/2000;N;2020
60;19;43;0;7;2.0;0;6;0;1;F;01/02/2002;N;2020
61;19;31;0;7;2.0;3;0;0;1;F;02/04/2000;N;2020
62;19;44;0;7;2.0;0;6;1;1;M;13/08/2001;N;2020
63;19;45;0;7;2.0;0;6;1;1;F;26/12/2000;N;2020
64;16;46;0;11;;0;6;1;0;F;11/06/2000;N;2020
65;16;47;0;11;;0;6;0;0;M;27/12/1986;N;2020
66;20;48;1;15;;0;14;0;0;F;19/09/2001;N;2020
67;20;48;1;15;;0;14;1;0;F;09/03/1986;N;2020
68;16;49;0;11;;3;21;0;0;F;02/06/1999;N;2020
69;21;50;0;16;0.0;1;9;0;1;F;19/12/2000;N;2020
70;14;29;0;11;0.0;1;9;0;1;F;17/12/1996;N;2020
71;13;51;0;17;;0;7;2;0;M;01/07/1996;S;2020
72;13;52;0;13;;1;4;1;0;M;29/05/1996;N;2020
73;13;53;0;13;;1;4;0;0;F;08/06/1997;N;2020
74;13;54;0;18;;1;9;1;0;F;22/08/1996;N;2020
75;13;55;0;13;;3;19;2;0;F;09/08/2002;N;2020
76;13;56;0;13;;3;19;1;0;M;05/01/2001;N;2020
77;13;57;0;13;;3;19;0;0;F;13/10/1988;N;2020
78;13;38;0;13;;3;18;0;0;M;30/01/1999;N;2020
79;13;38;0;13;;3;18;0;0;M;30/07/1982;N;2020
80;22;58;1;5;1.0;2;12;1;1;M;20/06/2000;N;2020
81;22;59;1;5;1.0;2;12;0;1;F;27/11/2001;N;2020
82;22;60;1;5;1.0;2;12;0;1;F;13/03/2000;N;2020
83;22;58;1;5;1.0;2;12;0;1;F;17/01/2001;N;2020
84;22;58;1;5;1.0;2;12;0;1;F;08/04/2000;N;2020
85;22;58;1;5;1.0;2;12;2;1;M;25/06/2002;N;2020
86;22;61;1;5;1.0;2;12;1;1;M;19/02/2002;N;2020
87;22;58;1;5;1.0;2;12;0;1;F;26/08/1979;N;2020
88;22;62;1;5;1.0;4;10;0;1;M;05/01/2001;N;2020
89;22;58;1;5;1.0;2;12;0;1;M;24/07/1982;N;2020
90;22;9;1;5;1.0;2;12;1;1;F;11/07/2002;N;2020
91;22;63;1;5;1.0;2;12;1;1;M;14/11/2000;N;2020
92;22;58;1;5;1.0;2;12;1;1;F;13/09/2000;N;2020
93;22;59;1;5;1.0;2;12;0;1;F;14/04/2002;N;2020
94;22;59;1;5;1.0;2;12;0;1;F;04/03/2002;N;2020
95;16;64;0;19;;3;19;0;0;M;06/01/1993;N;2020
96;16;65;0;10;;1;4;1;0;M;20/08/2000;N;2020
97;18;66;0;7;2.0;0;7;0;1;M;17/08/2002;N;2020
98;18;35;0;7;2.0;0;7;1;1;F;14/01/2001;N;2020
99;18;67;0;7;2.0;0;7;1;1;F;16/02/1998;N;2020
100;18;35;0;7;2.0;0;7;1;1;M;27/12/1996;N;2020
101;23;68;0;11;1.0;0;6;2;1;M;02/06/1997;N;2020
102;18;35;0;7;2.0;0;7;1;1;M;12/04/1992;N;2020
103;18;69;0;7;2.0;0;7;1;1;F;28/12/2001;N;2020
104;23;12;1;11;1.0;0;6;1;1;M;07/12/1995;N;2020
105;18;35;0;7;2.0;0;7;1;1;M;13/12/1998;N;2020
106;23;68;0;5;0.0;0;6;2;1;F;01/08/2000;N;2020
107;18;70;0;7;2.0;0;7;0;1;F;20/10/2001;N;2020
108;24;71;0;0;;0;7;3;0;F;27/10/1988;N;2020
109;18;72;0;7;2.0;0;7;1;1;F;08/11/2001;N;2020
110;25;73;0;20;0.0;0;7;1;1;F;24/09/1997;N;2020
111;18;74;0;7;2.0;0;7;0;1;M;06/06/2002;N;2020
112;18;35;0;7;2.0;0;7;1;1;F;28/04/1994;N;2020
113;24;7;0;4;0.0;0;7;1;1;F;31/03/1998;N;2020
114;16;75;0;21;;2;17;2;0;F;27/05/1986;N;2020
115;26;76;0;5;0.0;1;5;1;1;F;06/06/2001;N;2020
116;26;76;0;5;0.0;1;5;4;1;M;18/01/2000;N;2020
117;27;77;0;19;;1;4;1;0;M;04/12/2001;N;2020
118;0;31;0;2;;3;0;1;0;M;31/08/2001;N;2020
119;28;78;0;4;1.0;2;15;2;1;M;05/08/2002;N;2020
120;28;78;0;4;1.0;2;15;0;1;F;16/09/2002;N;2020
121;1;79;0;22;;0;11;1;0;F;01/04/1997;N;2020
122;4;80;0;23;0.0;0;7;0;1;F;15/07/2002;N;2020
123;4;81;0;23;0.0;0;7;1;1;F;28/05/2002;N;2020
124;4;7;0;6;0.0;0;7;0;1;F;31/03/1999;N;2020
125;0;82;0;17;;3;21;0;0;F;21/07/2001;N;2020
126;29;83;0;24;0.0;0;7;1;1;F;25/02/1986;N;2020
127;0;22;0;5;0.0;0;7;1;1;F;24/10/2000;N;2020
128;0;84;0;25;0.0;0;7;2;1;M;25/09/2001;N;2020
129;30;85;0;26;0.0;2;8;0;1;M;20/01/2002;N;2020
130;31;86;0;16;0.0;0;7;0;1;F;17/03/2002;N;2020
131;32;87;0;5;3.0;2;13;1;1;M;25/05/1990;N;2020
132;33;88;0;27;0.0;4;20;0;1;F;01/08/1999;N;2020
133;33;88;0;27;0.0;4;20;0;1;F;25/11/1982;N;2020
134;33;88;0;27;0.0;4;20;0;1;F;09/12/2001;N;2020
135;33;88;0;27;0.0;4;20;1;1;M;05/09/1997;N;2020
136;33;88;0;27;0.0;4;20;1;1;F;13/04/1981;N;2020
137;33;88;0;28;0.0;4;20;0;1;M;28/07/2001;N;2020
138;33;88;0;28;0.0;4;20;0;1;M;10/08/1988;N;2020
139;33;88;0;28;0.0;4;20;0;1;M;29/09/2000;N;2020
140;33;88;0;28;0.0;4;20;2;1;M;20/07/1991;N;2020
141;11;89;1;9;0.0;0;14;0;1;M;27/12/1995;N;2020
142;11;24;1;9;0.0;0;14;0;1;F;06/12/1999;N;2020
143;11;24;1;9;0.0;0;14;0;1;F;13/03/2001;N;2020
144;11;90;1;9;0.0;0;14;0;1;M;05/06/1998;N;2020
145;11;24;1;9;0.0;0;14;0;1;F;17/12/1998;N;2020
146;11;24;1;29;0.0;0;14;1;1;M;05/02/1997;N;2020
147;11;89;0;29;0.0;0;14;0;1;M;09/03/2001;N;2020
148;11;24;1;29;0.0;0;14;0;1;F;22/04/2001;N;2020
149;11;24;1;29;0.0;0;14;0;1;M;20/01/1999;N;2020
150;11;24;1;29;0.0;0;14;0;1;F;14/10/2001;N;2020
151;11;24;0;30;3.0;0;14;2;1;M;02/12/2002;N;2020
152;34;91;0;19;0.0;0;6;0;1;F;15/05/2001;N;2020
153;34;92;0;19;0.0;0;6;0;1;F;22/10/1997;N;2020
154;35;93;1;7;1.0;2;16;0;1;M;09/02/2002;N;2020
155;35;94;0;7;1.0;2;16;0;1;F;29/09/2001;N;2020
156;13;95;0;31;;0;6;0;0;M;24/09/1989;N;2020
157;13;78;0;31;;2;15;2;0;F;08/08/1993;N;2020
158;36;96;0;19;;1;9;0;0;F;31/08/2000;N;2020
159;36;96;0;19;;1;9;1;0;F;28/12/2001;N;2020
160;37;97;1;32;0.0;4;2;0;1;M;06/03/2002;N;2020
161;38;98;1;19;3.0;4;10;3;1;F;09/01/2000;N;2020
162;38;98;1;19;3.0;4;10;1;1;M;16/08/2001;N;2020
163;38;98;1;19;3.0;4;10;0;1;M;12/04/2000;N;2020
164;22;99;1;5;1.0;2;12;1;1;F;25/09/2001;N;2020
165;39;100;0;8;0.0;2;17;0;1;F;29/11/1990;N;2020
166;24;7;0;19;0.0;0;7;0;1;M;05/10/2002;N;2020
167;24;7;0;19;0.0;0;7;1;1;M;14/05/2002;N;2020
168;24;7;0;33;0.0;0;7;0;1;M;03/07/2002;N;2020
169;40;101;0;29;0.0;0;7;1;1;M;21/10/2000;N;2020
170;41;102;0;4;0.0;2;15;1;1;F;20/05/1998;N;2020
171;42;103;1;5;0.0;4;20;0;1;F;08/05/2000;N;2020
172;43;104;0;23;1.0;2;1;0;1;F;31/03/2001;N;2020
173;0;82;0;0;;3;21;0;0;F;11/05/1977;N;2020
174;0;82;0;0;;3;21;0;0;F;13/08/1986;N;2020
175;0;105;0;5;0.0;0;7;0;1;F;07/08/1990;N;2020
176;44;106;0;15;;0;6;1;0;M;06/01/1988;N;2020
177;45;68;0;5;0.0;0;6;0;1;F;02/12/1997;N;2020
178;46;107;1;29;0.0;0;6;0;1;F;26/06/1995;N;2020
179;47;68;0;7;1.0;0;6;1;1;M;21/10/1999;N;2020
180;0;108;0;11;;1;4;1;0;M;30/10/2002;N;2020
181;0;108;0;11;;1;4;1;0;F;13/06/1989;N;2020
182;23;68;0;34;0.0;0;6;2;1;M;06/10/2000;N;2020
183;48;109;0;21;0.0;2;17;0;1;M;19/05/1995;N;2020
184;48;109;0;21;0.0;2;17;0;1;M;28/10/1990;N;2020
185;0;110;0;3;0.0;0;7;1;1;M;22/11/1993;N;2020
186;49;88;0;8;;4;20;2;0;M;15/09/1998;N;2020
187;49;88;0;8;;4;20;0;0;F;11/12/1972;N;2020
188;49;88;0;8;;4;20;0;0;M;10/08/1983;N;2020
189;16;111;0;10;;1;5;1;0;M;20/11/1985;N;2020
190;20;24;0;5;1.0;0;14;0;1;F;18/04/2003;N;2020
191;20;24;1;5;1.0;0;14;0;1;M;17/06/1989;N;2020
192;20;24;1;5;1.0;0;14;1;1;F;23/06/2002;S;2020
193;20;24;1;5;0.0;0;14;0;1;F;07/07/2000;N;2020
194;20;24;1;5;0.0;0;14;0;1;M;09/08/1994;N;2020
195;20;24;1;5;0.0;0;14;2;1;M;12/12/1994;N;2020
196;20;90;1;5;0.0;0;14;1;1;F;20/06/2000;N;2020
197;20;24;1;5;0.0;0;14;0;1;F;11/01/2002;N;2020
198;20;24;1;5;0.0;0;14;0;1;M;09/07/1973;N;2020
199;20;24;1;5;0.0;0;14;0;1;M;06/12/2001;N;2020
200;27;112;0;35;;0;6;0;0;M;12/06/2000;N;2020
201;16;113;0;10;;4;20;0;0;F;15/01/2000;N;2020
202;22;114;1;5;1.0;2;12;1;1;F;21/06/2002;N;2020
203;22;115;1;5;1.0;2;12;0;1;F;25/08/2001;N;2020
204;22;116;1;5;1.0;2;12;1;1;F;27/08/2001;N;2020
205;22;117;1;5;1.0;2;12;0;1;F;21/01/2000;N;2020
206;22;118;1;5;1.0;2;12;1;1;F;27/05/2001;N;2020
207;2;119;1;5;0.0;0;6;1;1;M;28/12/1997;N;2020
208;0;58;0;11;;2;12;0;0;M;29/06/1998;N;2020
209;0;58;0;11;;2;12;1;0;M;08/07/1983;N;2020
210;0;58;0;11;;2;12;0;0;M;25/06/1993;N;2020
211;0;58;0;11;;2;12;0;0;F;20/07/1983;N;2020
212;0;120;0;36;;0;7;2;0;F;12/10/1991;N;2020
213;33;88;0;28;0.0;4;20;0;1;M;12/03/2000;N;2020
214;33;88;0;28;0.0;4;20;2;1;M;28/12/1987;N;2020
215;33;88;0;28;0.0;4;20;1;1;M;28/03/1994;N;2020
216;33;88;0;28;0.0;4;20;0;1;M;29/02/2000;N;2020
217;33;121;0;28;0.0;4;20;3;1;M;29/04/1997;N;2020
218;0;31;0;10;;3;0;1;0;M;07/05/1998;N;2020
219;1;2;0;10;;2;8;0;0;M;28/07/1997;N;2020
220;1;2;0;10;;2;8;0;0;M;08/06/1980;N;2020
221;4;122;0;5;0.0;0;7;2;1;M;30/08/1999;N;2020
222;4;123;1;5;0.0;0;7;1;1;F;02/03/2001;N;2020
223;4;7;0;5;0.0;0;7;0;1;F;18/05/1998;N;2020
224;4;122;0;19;0.0;0;7;0;1;F;10/04/2002;N;2020
225;4;7;0;7;1.0;0;7;1;1;F;06/05/2003;N;2020
226;36;78;0;0;;2;15;2;0;F;16/12/1986;N;2020
227;0;124;0;19;;0;7;2;0;M;20/01/1993;N;2020
228;50;31;0;37;0.0;3;0;1;1;F;17/03/2000;N;2020
229;51;125;0;5;0.0;0;6;2;1;F;15/06/2001;N;2020
230;51;126;0;5;0.0;0;6;1;1;F;28/08/2001;N;2020
231;51;127;0;5;0.0;0;6;0;1;M;18/02/2001;N;2020
232;23;68;0;38;0.0;0;6;0;1;F;08/08/2001;N;2020
233;23;128;1;8;;0;6;0;0;F;23/01/1998;N;2020
234;23;68;0;29;0.0;0;6;0;1;F;02/06/2001;N;2020
235;24;122;0;0;;0;7;1;0;F;06/07/1990;N;2020
236;24;122;0;0;;0;7;4;0;F;07/07/1990;N;2020
237;22;129;1;5;1.0;2;12;0;1;F;18/11/2001;N;2020
238;22;130;1;5;1.0;2;12;1;1;M;03/01/2002;N;2020
239;22;131;1;5;1.0;2;12;0;1;F;24/11/2001;N;2020
240;22;132;1;5;1.0;2;12;0;1;F;18/05/2001;N;2020
241;22;133;1;5;1.0;2;12;0;1;F;29/05/2001;N;2020
242;22;58;1;5;1.0;2;12;3;1;F;03/05/1998;N;2020
243;22;134;1;5;1.0;2;12;0;1;F;22/01/2002;N;2020
244;22;135;1;5;1.0;2;12;0;1;F;05/10/2002;S;2020
245;22;118;1;5;1.0;2;12;0;1;F;26/04/1998;N;2020
246;22;114;1;5;1.0;2;12;2;1;M;13/06/1996;N;2020
247;22;136;1;5;1.0;2;12;0;1;F;26/11/2001;N;2020
248;22;58;1;5;1.0;2;12;0;1;F;20/09/2002;N;2020
249;22;58;1;5;1.0;2;12;1;1;F;02/06/2001;N;2020
250;22;58;1;5;1.0;2;12;1;1;M;21/08/2000;N;2020
251;22;137;1;5;1.0;2;12;1;1;F;29/05/2003;N;2020
252;22;138;1;5;1.0;2;12;1;1;M;19/08/2001;N;2020
253;22;139;1;5;1.0;2;12;0;1;M;12/09/1999;N;2020
254;22;140;1;5;1.0;2;12;0;1;M;14/02/2002;N;2020
255;22;58;1;5;1.0;2;12;2;1;M;30/06/1964;N;2020
256;22;9;1;5;1.0;2;12;1;1;F;08/07/2002;N;2020
257;22;135;1;5;1.0;2;12;0;1;F;07/04/2003;N;2020
258;22;58;1;5;1.0;2;12;1;1;M;13/07/2002;N;2020
259;22;58;1;5;1.0;2;12;0;1;M;19/03/2001;N;2020
260;22;58;1;5;1.0;2;12;0;1;F;09/05/1973;N;2020
261;22;141;1;5;1.0;2;12;0;1;F;10/09/2002;N;2020
262;49;88;0;8;;4;20;2;0;M;13/09/1996;N;2020
263;49;88;0;8;;4;20;0;0;F;13/11/1986;N;2020
264;49;88;0;8;;4;20;0;0;M;26/04/2001;N;2020
265;49;121;0;8;;4;20;1;0;F;15/10/1998;N;2020
266;49;88;0;8;;4;20;0;0;F;17/09/1982;N;2020
267;49;88;0;8;;4;20;1;0;F;28/04/1992;N;2020
268;49;88;0;8;;4;20;0;0;M;08/06/1997;N;2020
269;52;79;1;11;;0;11;2;0;F;07/05/1998;N;2020
270;52;108;1;39;;1;4;3;0;F;24/05/1994;N;2020
271;52;53;1;11;;1;4;0;0;M;31/12/1969;N;2020
272;52;142;1;40;;0;7;0;0;F;16/04/2002;N;2020
273;52;142;1;41;;0;7;0;0;M;28/11/1960;N;2020
274;52;143;0;11;;1;9;1;0;F;02/04/2001;N;2020
275;52;144;0;11;;1;4;0;0;M;11/09/1999;N;2020
276;52;145;1;11;;1;4;1;0;F;15/07/2002;N;2020
277;4;146;0;10;0.0;0;7;1;1;F;22/03/2002;N;2020
278;4;7;0;32;0.0;0;7;0;1;M;25/07/1999;N;2020
279;4;7;0;42;0.0;0;7;1;1;F;13/12/2001;N;2020
280;9;18;0;5;0.0;0;7;1;1;M;02/02/1999;N;2020
281;53;147;0;9;0.0;0;7;0;1;M;15/10/1993;N;2020
282;54;148;0;6;1.0;2;15;1;1;F;01/05/2002;N;2020
283;23;68;0;12;0.0;0;6;1;1;F;23/01/1998;N;2020
284;40;149;0;26;0.0;0;7;1;1;F;14/03/2001;N;2020
285;40;149;0;26;0.0;0;7;0;1;F;05/12/2000;N;2020
286;13;150;0;19;;3;19;1;0;F;11/07/1994;N;2020
287;13;150;0;19;;3;19;0;0;F;02/10/1965;N;2020
288;13;150;0;19;;3;19;0;0;F;15/05/1986;N;2020
289;13;151;0;19;;0;7;0;0;M;18/12/1984;N;2020
290;13;82;0;8;;3;21;0;0;F;24/04/1991;N;2020
291;13;53;0;19;;1;4;1;0;M;13/01/1995;N;2020
292;13;53;0;19;;1;4;1;0;M;12/04/1986;N;2020
293;13;53;0;19;;1;4;1;0;M;12/05/1995;N;2020
294;13;53;0;19;;1;4;1;0;M;23/05/1984;N;2020
295;13;152;0;19;;1;4;1;0;M;08/09/1984;N;2020
296;13;53;0;19;;1;4;1;0;M;13/05/1981;N;2020
297;13;153;0;19;;2;12;2;0;M;06/12/1994;N;2020
298;13;154;0;43;;4;20;0;0;F;08/05/1999;N;2020
299;13;155;0;19;;0;6;2;0;M;26/02/2002;N;2020
300;13;97;0;19;;4;2;0;0;M;25/12/1968;N;2020
301;16;156;0;19;;2;17;2;0;F;15/12/1987;N;2020
302;27;77;0;24;;1;4;0;0;F;14/09/2000;N;2020
303;27;77;0;24;;1;4;1;0;F;04/05/1988;N;2020
304;16;157;0;10;;0;6;0;0;F;05/06/1968;N;2020
305;55;7;0;5;0.0;0;7;2;1;F;25/02/2001;N;2020
306;55;158;0;5;0.0;0;7;0;1;M;21/10/2002;N;2020
307;55;159;0;5;0.0;1;4;0;1;F;14/01/1998;N;2020
308;55;7;0;5;0.0;0;7;0;1;F;30/11/1992;N;2020
309;0;160;0;2;;4;20;0;0;F;28/10/1991;N;2020
310;56;161;0;10;0.0;2;15;0;1;M;20/02/2001;N;2020
311;56;161;0;10;0.0;2;15;0;1;M;27/02/2000;N;2020
312;56;162;0;10;0.0;2;15;1;1;F;17/10/1999;N;2020
313;56;163;0;10;0.0;2;15;0;1;F;28/06/2002;N;2020
314;56;164;1;10;0.0;2;15;0;1;M;08/05/2002;N;2020
315;56;161;0;10;0.0;2;15;0;1;M;19/08/1997;N;2020
316;56;161;1;10;0.0;2;15;0;1;F;17/03/2001;N;2020
317;56;161;0;10;0.0;2;15;0;1;M;27/02/2002;N;2020
318;56;161;0;10;0.0;2;15;1;1;M;31/05/2001;N;2020
319;56;165;0;10;0.0;2;15;0;1;M;07/12/1995;N;2020
320;56;166;1;10;0.0;2;15;0;1;F;21/06/2001;N;2020
321;56;161;1;10;0.0;2;15;2;1;F;19/08/2000;N;2020
322;56;161;1;10;0.0;2;15;2;1;M;11/08/1999;N;2020
323;56;167;1;10;0.0;2;15;1;1;F;31/10/2001;N;2020
324;56;161;0;10;0.0;2;15;0;1;F;06/07/1996;N;2020
325;38;98;1;19;3.0;4;10;1;1;F;14/09/2001;N;2020
326;38;98;1;19;3.0;4;10;1;1;F;15/06/2001;N;2020
327;38;168;1;19;3.0;4;10;0;1;F;01/06/2002;N;2020
328;38;98;1;19;3.0;4;10;0;1;M;17/09/2000;N;2020
329;38;98;1;19;3.0;4;10;1;1;F;07/07/2000;N;2020
330;38;169;1;19;3.0;4;10;0;1;F;17/06/2001;N;2020
331;56;161;1;5;1.0;2;15;2;1;F;21/08/1999;N;2020
332;56;170;1;5;1.0;2;15;0;1;F;31/07/1998;N;2020
333;56;161;0;5;1.0;2;15;0;1;F;13/06/2001;N;2020
334;56;161;0;5;1.0;2;15;1;1;M;13/02/2001;N;2020
335;56;161;1;5;1.0;2;15;1;1;F;24/06/2001;N;2020
336;56;171;1;5;1.0;0;6;2;1;M;29/10/2000;N;2020
337;57;22;1;11;0.0;0;7;1;1;F;30/10/2000;N;2020
338;57;172;1;11;0.0;0;7;1;1;F;28/05/2001;N;2020
339;57;22;1;11;0.0;0;7;1;1;M;18/09/2001;N;2020
340;57;22;1;11;0.0;0;7;0;1;M;14/03/1997;N;2020
341;57;23;1;11;0.0;0;7;1;1;F;19/07/1999;N;2020
342;57;22;1;11;0.0;0;7;1;1;F;21/07/2001;N;2020
343;57;173;1;11;0.0;0;7;0;1;F;12/08/2000;N;2020
344;57;174;1;11;0.0;0;7;1;1;F;26/01/2001;N;2020
345;57;22;1;11;0.0;0;7;1;1;M;02/04/2001;N;2020
346;57;172;1;11;0.0;0;7;1;1;M;08/06/1995;N;2020
347;58;106;0;12;0.0;0;6;0;1;F;04/08/2001;N;2020
348;57;22;1;1;0.0;0;7;1;1;F;16/04/2002;N;2020
349;58;106;0;12;0.0;0;6;0;1;M;24/02/2000;N;2020
350;57;22;1;1;0.0;0;7;1;1;M;08/03/2002;N;2020
351;52;175;0;44;;0;6;0;0;F;15/08/1987;N;2020
352;57;22;1;1;0.0;0;7;1;1;M;13/10/1995;N;2020
353;59;176;0;5;1.0;1;4;0;1;F;26/04/1996;N;2020
354;57;177;1;1;0.0;0;7;1;1;F;04/12/2001;N;2020
355;52;79;1;45;;0;11;0;0;M;28/10/1985;N;2020
356;60;19;1;5;1.0;2;15;0;1;F;15/11/1998;N;2020
357;61;178;1;16;1.0;2;17;2;1;F;01/11/2001;N;2020
358;61;156;1;16;1.0;2;17;1;1;F;15/01/2001;N;2020
359;61;109;0;16;0.0;2;17;2;1;F;17/11/1994;N;2020
360;61;109;0;16;0.0;2;17;0;1;M;28/02/2002;N;2020
361;62;151;0;0;;0;7;0;0;F;14/09/1990;N;2020
362;63;179;0;46;0.0;0;6;0;1;M;23/06/2002;N;2020
363;1;79;0;47;;0;11;0;0;M;13/01/1992;N;2020
364;23;68;0;25;0.0;0;6;0;1;F;19/02/2002;N;2020
365;23;12;0;25;0.0;0;6;0;1;F;11/02/1997;N;2020
366;64;31;0;5;0.0;3;0;1;1;M;03/07/2001;N;2020
367;64;31;0;7;0.0;3;0;1;1;F;27/11/1996;N;2020
368;24;7;0;16;0.0;0;7;0;1;M;02/07/1999;N;2020
369;24;180;0;16;0.0;0;7;1;1;M;16/02/2000;N;2020
370;24;7;0;16;0.0;0;7;0;1;F;18/05/1973;N;2020
371;24;73;0;16;0.0;0;7;0;1;M;08/11/2002;N;2020
372;0;31;0;11;;3;0;2;0;F;18/11/1998;N;2020
373;0;31;0;11;;3;0;0;0;F;23/11/2001;N;2020
374;0;31;0;48;;3;0;1;0;F;16/10/2001;N;2020
375;0;31;0;49;;3;0;1;0;F;24/01/2002;N;2020
376;0;51;0;33;0.0;0;7;1;1;M;29/08/1994;N;2020
377;0;82;0;11;;3;21;1;0;F;04/12/1991;N;2020
378;52;47;0;11;;0;6;0;0;F;12/01/1997;N;2020
379;22;181;1;5;1.0;2;12;0;1;F;08/06/2000;N;2020
380;22;132;1;5;1.0;2;12;0;1;F;04/01/2002;N;2020
381;22;182;1;5;1.0;2;12;0;1;F;21/04/2003;N;2020
382;22;183;1;5;1.0;2;12;0;1;M;09/11/1997;N;2020
383;22;58;1;5;1.0;2;12;0;1;M;09/05/2000;N;2020
384;21;50;0;16;0.0;1;9;0;1;F;03/09/1980;N;2020
385;21;50;0;16;0.0;1;9;1;1;F;08/02/2002;N;2020
386;20;184;1;15;;0;14;0;0;F;26/12/1982;N;2020
387;20;184;1;15;;0;14;0;0;F;19/12/2001;N;2020
388;16;185;0;11;;0;11;2;0;M;17/12/2000;N;2020
389;16;185;0;11;;0;11;0;0;F;04/06/2001;N;2020
390;27;186;0;33;;4;24;0;0;M;15/08/1998;N;2020
